bytes_compute,bytes_cross,events_cross,c_intra_pj,c_cross_pj,c_total_pj,crossing_fraction,epsilon_local
262144,256,1,26.214400,819.200000,845.414400,0.968992,0.000000
262144,512,2,26.214400,1638.400000,1664.614400,0.984252,0.977457
262144,1024,4,26.214400,3276.800000,3303.014400,0.992063,0.988595
262144,2048,8,26.214400,6553.600000,6579.814400,0.996016,0.994264
262144,4096,16,26.214400,13107.200000,13133.414400,0.998004,0.997123
262144,8192,32,26.214400,26214.400000,26240.614400,0.999001,0.998559
262144,16384,64,26.214400,52428.800000,52455.014400,0.999500,0.999279
262144,32768,128,26.214400,104857.600000,104883.814400,0.999750,0.999639
262144,65536,256,26.214400,209715.200000,209741.414400,0.999875,0.999820
262144,131072,512,26.214400,419430.400000,419456.614400,0.999938,0.999910
262144,262144,1024,26.214400,838860.800000,838887.014400,0.999969,0.999955
262144,524288,2048,26.214400,1677721.600000,1677747.814400,0.999984,0.999977
