bytes_compute,bytes_cross,events_cross,c_intra_pj,c_cross_pj,c_total_pj,crossing_fraction,epsilon_local
262144,256,1,65536.000000,320.000000,65856.000000,0.004859,0.000000
262144,512,2,65536.000000,640.000000,66176.000000,0.009671,0.006993
262144,1024,4,65536.000000,1280.000000,66816.000000,0.019157,0.013886
262144,2048,8,65536.000000,2560.000000,68096.000000,0.037594,0.027376
262144,4096,16,65536.000000,5120.000000,70656.000000,0.072464,0.053242
262144,8192,32,65536.000000,10240.000000,75776.000000,0.135135,0.100929
262144,16384,64,65536.000000,20480.000000,86016.000000,0.238095,0.182864
262144,32768,128,65536.000000,40960.000000,106496.000000,0.384615,0.308122
262144,65536,256,65536.000000,81920.000000,147456.000000,0.555556,0.469485
262144,131072,512,65536.000000,163840.000000,229376.000000,0.714286,0.637430
262144,262144,1024,65536.000000,327680.000000,393216.000000,0.833333,0.777608
262144,524288,2048,65536.000000,655360.000000,720896.000000,0.909091,0.874469
